body_temperature,walking_capacity,heart_rate,health_status,temperature_above_normal,temperature_below_normal,low_walking_capacity,high_heart_rate,low_heart_rate
38.3,13139,72,healthy,False,False,False,False,False
38.3,9595,66,healthy,False,False,False,False,False
38.6,11566,68,healthy,False,False,False,False,False
40.8,4545,95,unhealthy,True,False,True,True,False
35.9,5447,36,unhealthy,False,True,True,False,True
38.2,5412,58,unhealthy,False,False,True,False,False
38.4,12880,70,healthy,False,False,False,False,False
38.2,10011,58,healthy,False,False,False,False,False
35.5,6052,29,unhealthy,False,True,True,False,True
37.9,12057,68,healthy,False,False,False,False,False
38.3,11684,73,healthy,False,False,False,False,False
38.3,11574,78,healthy,False,False,False,False,False
38.4,12915,68,healthy,False,False,False,False,False
34.2,5455,38,unhealthy,False,True,True,False,True
35.6,6715,37,unhealthy,False,True,True,False,True
38.1,12384,75,healthy,False,False,False,False,False
38.5,11322,60,healthy,False,False,False,False,False
38.2,11720,61,healthy,False,False,False,False,False
35.7,5103,37,unhealthy,False,True,True,False,True
38.8,4665,63,unhealthy,False,False,True,False,False
38.5,10995,65,healthy,False,False,False,False,False
39.0,12967,70,healthy,False,False,False,False,False
41.3,5388,113,unhealthy,True,False,True,True,False
41.0,7529,98,unhealthy,True,False,True,True,False
38.1,12100,62,healthy,False,False,False,False,False
38.3,12329,59,healthy,False,False,False,False,False
36.5,7954,35,unhealthy,False,True,True,False,True
38.5,11442,64,healthy,False,False,False,False,False
38.3,11138,67,healthy,False,False,False,False,False
38.1,12914,66,healthy,False,False,False,False,False
38.1,4660,62,unhealthy,False,False,True,False,False
35.4,8043,40,unhealthy,False,True,True,False,True
38.1,11603,64,healthy,False,False,False,False,False
38.5,11807,69,healthy,False,False,False,False,False
38.6,11072,60,healthy,False,False,False,False,False
38.3,12962,71,healthy,False,False,False,False,False
35.6,8205,33,unhealthy,False,True,True,False,True
39.6,6984,113,unhealthy,True,False,True,True,False
36.1,5390,36,unhealthy,False,True,True,False,True
40.3,6895,98,unhealthy,True,False,True,True,False
35.1,5965,30,unhealthy,False,True,True,False,True
35.1,5509,23,unhealthy,False,True,True,False,True
41.0,5693,87,unhealthy,True,False,True,True,False
40.9,5887,98,unhealthy,True,False,True,True,False
38.6,10144,59,healthy,False,False,False,False,False
38.2,3877,67,unhealthy,False,False,True,False,False
38.1,10320,60,healthy,False,False,False,False,False
